县名,規範碼,舊規範碼,地名分類,緯度,經度,行政區,屬,BEG,END,年代,朝代
汧縣,PL000000042955,CN0610327Z23AA,中研院歷史地名 ,34.8566,106.8714,中國-陝西省-寶雞市-隴縣,司隸校尉部,24,220,（24 ~ 220）,东汉
渝麋,PL000000042976,CN0610328Z13AA,中研院歷史地名 ,34.6443,107.1698,中國-陝西省-寶雞市-千陽縣,司隸校尉部,24,220,（24 ~ 220）,东汉
杜陽,PL000000042990,CN0610329Z12AA,中研院歷史地名 ,34.7228,107.7,中國-陝西省-寶雞市-麟游縣,司隸校尉部,24,220,（24 ~ 220）,东汉
平陵,PL000000043041,CN0610402Z01AA,中研院歷史地名 ,34.3618,108.6301,中國-陝西省-咸陽市-秦都區,司隸校尉部,24,220,（24 ~ 220）,东汉
安陵,PL000000043054,CN0610404Z08AA,中研院歷史地名 ,34.4582,108.7923,中國-陝西省-咸陽市-渭城區,司隸校尉部,24,220,（24 ~ 220）,东汉
長陵,PL000000043059,CN0610404Z13AA,中研院歷史地名 ,34.4568,108.8768,中國-陝西省-咸陽市-渭城區,司隸校尉部,24,220,（24 ~ 220）,东汉
池陽,PL000000043088,CN0610423Z13AA,中研院歷史地名 ,34.539,108.8114,中國-陝西省-咸陽市-涇陽縣,司隸校尉部,24,220,（24 ~ 220）,东汉
陽陵,PL000000043098,CN0610423Z23AA,中研院歷史地名 ,34.4731,108.941,中國-陝西省-咸陽市-涇陽縣,司隸校尉部,24,220,（24 ~ 220）,东汉
漆縣,PL000000043163,CN0610427Z07AA,中研院歷史地名 ,35.0436,108.1032,中國-陝西省-咸陽市-彬縣,司隸校尉部,24,220,（24 ~ 220）,东汉
陰槃,PL000000043185,CN0610428Z01AA,中研院歷史地名 ,35.2969,107.7246,中國-陝西省-咸陽市-長武縣,涼州刺史部,24,220,（24 ~ 220）,东汉
栒邑,PL000000043203,CN0610429Z07AA,中研院歷史地名 ,35.26,108.4508,中國-陝西省-咸陽市-旬邑縣,司隸校尉部,24,220,（24 ~ 220）,东汉
雲陽,PL000000043227,CN0610430Z03AA,中研院歷史地名 ,34.9062,108.4778,中國-陝西省-咸陽市-淳化縣,司隸校尉部,24,220,（24 ~ 220）,东汉
美陽,PL000000043241,CN0610431Z02AA,中研院歷史地名 ,34.3378,108.0614,中國-陝西省-咸陽市-武功縣,司隸校尉部,24,220,（24 ~ 220）,东汉
茂陵,PL000000043256,CN0610481Z03AA,中研院歷史地名 ,34.3545,108.57,中國-陝西省-咸陽市-興平市,司隸校尉部,24,220,（24 ~ 220）,东汉
槐里,PL000000043265,CN0610481Z12AA,中研院歷史地名 ,34.2848,108.5046,中國-陝西省-咸陽市-興平市,司隸校尉部,24,220,（24 ~ 220）,东汉
鄭縣,PL000000043323,CN0610521Z19AA,中研院歷史地名 ,34.5192,109.7689,中國-陝西省-渭南市-華縣,司隸校尉部,24,220,（24 ~ 220）,东汉
臨晉,PL000000043372,CN0610523Z29AA,中研院歷史地名 ,34.7832,110.1259,中國-陝西省-渭南市-大荔縣,司隸校尉部,24,220,（24 ~ 220）,东汉
郃陽,PL000000043408,CN0610524Z13AA,中研院歷史地名 ,35.1899,110.3257,中國-陝西省-渭南市-合陽縣,司隸校尉部,24,220,（24 ~ 220）,东汉
重泉,PL000000043459,CN0610526Z20AA,中研院歷史地名 ,34.8116,109.7021,中國-陝西省-渭南市-蒲城縣,司隸校尉部,24,220,（24 ~ 220）,东汉
蓮勺,PL000000043463,CN0610526Z24AA,中研院歷史地名 ,34.7931,109.5843,中國-陝西省-渭南市-蒲城縣,司隸校尉部,24,220,（24 ~ 220）,东汉
衙縣,PL000000043467,CN0610527Z03AA,中研院歷史地名 ,35.3684,109.6846,中國-陝西省-渭南市-白水縣,司隸校尉部,24,220,（24 ~ 220）,东汉
粟邑,PL000000043474,CN0610527Z10AA,中研院歷史地名 ,35.2876,109.5039,中國-陝西省-渭南市-白水縣,司隸校尉部,24,220,（24 ~ 220）,东汉
頻陽,PL000000043496,CN0610528Z09AA,中研院歷史地名 ,34.9259,109.3242,中國-陝西省-渭南市-富平縣,司隸校尉部,24,220,（24 ~ 220）,东汉
夏陽,PL000000043529,CN0610581Z12AA,中研院歷史地名 ,35.4039,110.411,中國-陝西省-渭南市-韓城市,司隸校尉部,24,220,（24 ~ 220）,东汉
華陰,PL000000043555,CN0610582Z13AA,中研院歷史地名 ,34.5657,110.1206,中國-陝西省-渭南市-華陰市,司隸校尉部,24,220,（24 ~ 220）,东汉
高奴,PL000000043579,CN0610602Z17AA,中研院歷史地名 ,36.6233,109.4948,中國-陝西省-延安市-寶塔區,并州刺史部,24,220,（24 ~ 220）,东汉
定陽,PL000000043585,CN0610602Z23AA,中研院歷史地名 ,36.3386,109.8479,中國-陝西省-延安市-寶塔區,并州刺史部,24,220,（24 ~ 220）,东汉
雕陰,PL000000043723,CN0610627Z19AA,中研院歷史地名 ,36.1256,109.3536,中國-陝西省-延安市-甘泉縣,并州刺史部,24,220,（24 ~ 220）,东汉
南鄭,PL000000043868,CN0610702Z27AA,中研院歷史地名 ,33.0761,107.0439,中國-陝西省-漢中市-漢台區,益州刺史部,24,220,（24 ~ 220）,东汉
成固,PL000000043899,CN0610722Z05AA,中研院歷史地名 ,33.1606,107.3504,中國-陝西省-漢中市-城固縣,益州刺史部,24,220,（24 ~ 220）,东汉
褒中,PL000000043973,CN0610725Z06AA,中研院歷史地名 ,33.1995,106.9376,中國-陝西省-漢中市-勉縣,益州刺史部,24,220,（24 ~ 220）,东汉
沔陽,PL000000043988,CN0610725Z21AA,中研院歷史地名 ,33.1556,106.7102,中國-陝西省-漢中市-勉縣,益州刺史部,24,220,（24 ~ 220）,东汉
沮縣,PL000000044044,CN0610727Z27AA,中研院歷史地名 ,33.3084,106.4683,中國-陝西省-漢中市-略陽縣,涼州刺史部,24,220,（24 ~ 220）,东汉
龜茲,PL000000044079,CN0610802Z01AA,中研院歷史地名 ,38.4206,109.7701,中國-陝西省-榆林市-榆陽區,并州刺史部,24,220,（24 ~ 220）,东汉
膚施,PL000000044083,CN0610802Z05AA,中研院歷史地名 ,38.0074,109.8809,中國-陝西省-榆林市-榆陽區,并州刺史部,24,220,（24 ~ 220）,东汉
白土,PL000000044141,CN0610821Z18AA,中研院歷史地名 ,38.8138,110.1303,中國-陝西省-榆林市-神木縣,并州刺史部,24,220,（24 ~ 220）,东汉
圜陽,PL000000044156,CN0610821Z33AA,中研院歷史地名 ,38.2869,110.5113,中國-陝西省-榆林市-神木縣,并州刺史部,24,220,（24 ~ 220）,东汉
圜陰,PL000000044309,CN0610828Z01AA,中研院歷史地名 ,38.3863,110.4082,中國-陝西省-榆林市-佳縣,并州刺史部,24,220,（24 ~ 220）,东汉
西城,PL000000044381,CN0610902Z16AA,中研院歷史地名 ,32.7051,108.9903,中國-陝西省-安康市-漢濱區,益州刺史部,24,220,（24 ~ 220）,东汉
上雒,PL000000044503,CN0611002Z18AA,中研院歷史地名 ,33.8694,109.9414,中國-陝西省-商洛市-商州區,司隸校尉部,24,220,（24 ~ 220）,东汉
商縣,PL000000044537,CN0611022Z11AA,中研院歷史地名 ,33.6937,110.3376,中國-陝西省-商洛市-丹鳳縣,司隸校尉部,24,220,（24 ~ 220）,东汉
金城,PL000000044610,CN0620104Z03AA,中研院歷史地名 ,36.0996,103.6165,中國-甘肅省-蘭州市-西固區,涼州刺史部,24,220,（24 ~ 220）,东汉
令居,PL000000044631,CN0620121Z06AA,中研院歷史地名 ,36.7771,103.1067,中國-甘肅省-蘭州市-永登縣,涼州刺史部,24,220,（24 ~ 220）,东汉
浩亹,PL000000044652,CN0620121Z27AA,中研院歷史地名 ,36.5228,102.9203,中國-甘肅省-蘭州市-永登縣,涼州刺史部,24,220,（24 ~ 220）,东汉
允街,PL000000044662,CN0620121Z37AA,中研院歷史地名 ,36.45,103.3546,中國-甘肅省-蘭州市-永登縣,涼州刺史部,24,220,（24 ~ 220）,东汉
枝陽,PL000000044667,CN0620121Z42AA,中研院歷史地名 ,36.2777,103.4553,中國-甘肅省-蘭州市-永登縣,涼州刺史部,24,220,（24 ~ 220）,东汉
榆中,PL000000044690,CN0620123Z12AA,中研院歷史地名 ,36.0321,104.0535,中國-甘肅省-蘭州市-榆中縣,涼州刺史部,24,220,（24 ~ 220）,东汉
勇士,PL000000044693,CN0620123Z15AA,中研院歷史地名 ,36.0135,104.1639,中國-甘肅省-蘭州市-榆中縣,涼州刺史部,24,220,（24 ~ 220）,东汉
日勒,PL000000044722,CN0620321Z04AA,中研院歷史地名 ,38.4204,101.5332,中國-甘肅省-金昌市-永昌縣,涼州刺史部,24,220,（24 ~ 220）,东汉
番和,PL000000044750,CN0620321Z32AA,中研院歷史地名 ,38.247,101.9782,中國-甘肅省-金昌市-永昌縣,涼州刺史部,24,220,（24 ~ 220）,东汉
驪靬,PL000000044758,CN0620321Z40AA,中研院歷史地名 ,38.1953,101.8901,中國-甘肅省-金昌市-永昌縣,涼州刺史部,24,220,（24 ~ 220）,东汉
休屠,PL000000044771,CN0620321Z53AA,中研院歷史地名 ,38.1596,102.668,中國-甘肅省-金昌市-永昌縣,涼州刺史部,24,220,（24 ~ 220）,东汉
上邽,PL000000044864,CN0620502Z18AA,中研院歷史地名 ,34.5853,105.7258,中國-甘肅省-天水市-秦州區(**),涼州刺史部,24,220,（24 ~ 220）,东汉
冀縣,PL000000044891,CN0620503Z04AA,中研院歷史地名 ,34.6989,105.464,中國-甘肅省-天水市-麥積區(**),涼州刺史部,24,220,（24 ~ 220）,东汉
望垣,PL000000044893,CN0620503Z06AA,中研院歷史地名 ,34.6802,105.6271,中國-甘肅省-天水市-麥積區(**),涼州刺史部,24,220,（24 ~ 220）,东汉
略陽,PL000000044958,CN0620522Z04AA,中研院歷史地名 ,35.0273,105.9816,中國-甘肅省-天水市-秦安縣,涼州刺史部,24,220,（24 ~ 220）,东汉
顯親,PL000000044973,CN0620522Z19AA,中研院歷史地名 ,34.9665,105.6004,中國-甘肅省-天水市-秦安縣,涼州刺史部,24,220,（24 ~ 220）,东汉
隴縣,PL000000045026,CN0620525Z05AA,中研院歷史地名 ,34.9949,106.2378,中國-甘肅省-天水市-張家川回族自治縣,涼州刺史部,24,220,（24 ~ 220）,东汉
