passageId,name,id,oldid,type,JingDu,WeuDu,HangZhengGou,Shu,start,end,dynasty,level
passage102,交趾郡,PL000000055173,Err:512,中研院歷史地名 ,106.1001,21.1113,越南-紅河三角洲(ĐồngbằngSôngHồng)(RedRiverDelta)-北寧省(BacNinh)-(BacNinh),交州刺史部,24,220,東漢,郡
passage103,九真郡,PL000000055283,Err:512,中研院歷史地名 ,105.7254,19.8715,越南-北中部(BắcTrungBộ)(NorthCentralCoast)-清化省(ThanhHoa)-(ThanhHoa),交州刺史部,24,220,東漢,郡
passage104,日南郡,PL000000055372,Err:512,中研院歷史地名 ,107.1324,16.773,越南-北中部(BắcTrungBộ)(NorthCentralCoast)-廣治省(QuangTri)-(TrieuPhong),交州刺史部,24,220,東漢,郡
passage105,藍氏城,PL000000000009,Err:512,中研院歷史地名 ,67.0556,36.8752,阿富汗-巴爾赫省(Balkh)-(CharBolak),Err:512,24,220,大月氏,縣
passage106,高德,PL000000000041,Err:512,中研院歷史地名 ,69.2041,34.5789,阿富汗-喀布爾省(Kabul)-(ShakarDara),Err:512,24,220,大月氏,縣
passage107,薊縣,PL000000000362,CN0110104Z02AA,中研院歷史地名 ,116.3671,39.8714,中國-北京市-市轄區-宣武區,幽州刺史部,24,220,東漢,縣
passage108,良鄉,PL000000000458,CN0110111Z04AA,中研院歷史地名 ,116.0815,39.6439,中國-北京市-市轄區-房山區,幽州刺史部,24,220,東漢,縣
passage109,廣陽,PL000000000464,CN0110111Z10AA,中研院歷史地名 ,116.201,39.7549,中國-北京市-市轄區-房山區,幽州刺史部,24,220,東漢,縣
passage110,狐奴,PL000000000498,CN0110113Z02AA,中研院歷史地名 ,116.7611,40.1998,中國-北京市-市轄區-順義區,幽州刺史部,24,220,東漢,縣
passage111,安樂,PL000000000501,CN0110113Z05AA,中研院歷史地名 ,116.6065,40.17,中國-北京市-市轄區-順義區,幽州刺史部,24,220,東漢,縣
passage112,軍都,PL000000000536,CN0110114Z18AA,中研院歷史地名 ,116.2111,40.1569,中國-北京市-市轄區-昌平區,幽州刺史部,24,220,東漢,縣
passage113,昌平,PL000000000541,CN0110114Z23AA,中研院歷史地名 ,116.2762,40.1128,中國-北京市-市轄區-昌平區,幽州刺史部,24,220,東漢,縣
passage114,平谷,PL000000000577,CN0110117Z05AA,中研院歷史地名 ,117.1617,40.1764,中國-北京市-市轄區-平谷區,幽州刺史部,24,220,東漢,縣
passage115,傂奚,PL000000000595,CN0110228Z08AA,中研院歷史地名 ,117.166,40.6592,中國-北京市-縣-密雲縣,幽州刺史部,24,220,東漢,縣
passage116,獷平,PL000000000604,CN0110228Z17AA,中研院歷史地名 ,117.1148,40.5952,中國-北京市-縣-密雲縣,幽州刺史部,24,220,東漢,縣
passage117,漁陽,PL000000000627,CN0110228Z40AA,中研院歷史地名 ,116.7519,40.3298,中國-北京市-縣-密雲縣,幽州刺史部,24,220,東漢,縣
passage118,居庸,PL000000000655,CN0110229Z20AA,中研院歷史地名 ,115.9783,40.459,中國-北京市-縣-延慶縣,幽州刺史部,24,220,東漢,縣
passage119,雍奴,PL000000000705,CN0120114Z05AA,中研院歷史地名 ,117.0257,39.5885,中國-天津市-市轄區-武清區,幽州刺史部,24,220,東漢,縣
passage120,泉州,PL000000000721,CN0120114Z21AA,中研院歷史地名 ,117.0058,39.3228,中國-天津市-市轄區-武清區,幽州刺史部,24,220,東漢,縣
passage121,無終,PL000000000775,CN0120225Z17AA,中研院歷史地名 ,117.4118,40.043,中國-天津市-縣-薊縣,幽州刺史部,24,220,東漢,縣
passage122,真定,PL000000000791,CN0130102Z02AA,中研院歷史地名 ,114.5661,38.0911,中國-河北省-石家莊市-長安區,冀州刺史部,24,220,東漢,縣
passage123,井陘,PL000000000812,CN0130121Z02AA,中研院歷史地名 ,114.0656,38.1939,中國-河北省-石家莊市-井陘縣,冀州刺史部,24,220,東漢,縣
passage124,新市,PL000000000853,CN0130123Z03AA,中研院歷史地名 ,114.6918,38.2679,中國-河北省-石家莊市-正定縣,冀州刺史部,24,220,東漢,縣
passage125,南行唐,PL000000000888,CN0130125Z06AA,中研院歷史地名 ,114.5771,38.5591,中國-河北省-石家莊市-行唐縣,冀州刺史部,24,220,東漢,縣
passage126,靈壽,PL000000000907,CN0130126Z07AA,中研院歷史地名 ,114.306,38.3259,中國-河北省-石家莊市-靈壽縣,冀州刺史部,24,220,東漢,縣
passage127,高邑,PL000000000930,CN0130127Z09AA,中研院歷史地名 ,114.6991,37.5848,中國-河北省-石家莊市-高邑縣,冀州刺史部,24,220,東漢,縣
passage128,房子,PL000000000931,CN0130127Z10AA,中研院歷史地名 ,114.538,37.5839,中國-河北省-石家莊市-高邑縣,冀州刺史部,24,220,東漢,縣
passage129,南深澤,PL000000000952,CN0130128Z11AA,中研院歷史地名 ,115.3338,38.1692,中國-河北省-石家莊市-深澤縣,冀州刺史部,24,220,東漢,縣
passage130,毋極,PL000000000969,CN0130130Z01AA,中研院歷史地名 ,114.8374,38.1802,中國-河北省-石家莊市-無極縣,冀州刺史部,24,220,東漢,縣
passage131,元氏,PL000000001014,CN0130132Z03AA,中研院歷史地名 ,114.4514,37.8272,中國-河北省-石家莊市-元氏縣,冀州刺史部,24,220,東漢,縣
passage132,欒城,PL000000001041,CN0130133Z08AA,中研院歷史地名 ,114.6854,37.7579,中國-河北省-石家莊市-趙縣,冀州刺史部,24,220,東漢,縣
passage133,平棘,PL000000001055,CN0130133Z22AA,中研院歷史地名 ,114.806,37.738,中國-河北省-石家莊市-趙縣,冀州刺史部,24,220,東漢,縣
passage134,阜城,PL000000001078,CN0130181Z18AA,中研院歷史地名 ,115.311,37.6915,中國-河北省-石家莊市-辛集市,冀州刺史部,24,220,東漢,縣
passage135,九門,PL000000001085,CN0130182Z06AA,中研院歷史地名 ,114.7318,38.1062,中國-河北省-石家莊市-藁城市,冀州刺史部,24,220,東漢,縣
passage136,下曲陽,PL000000001112,CN0130183Z03AA,中研院歷史地名 ,114.9898,38.0465,中國-河北省-石家莊市-晉州市,冀州刺史部,24,220,東漢,縣
passage137,蒲吾,PL000000001144,CN0130185Z02AA,中研院歷史地名 ,114.2876,38.228,中國-河北省-石家莊市-鹿泉市,冀州刺史部,24,220,東漢,縣
passage138,土垠,PL000000001183,CN0130208Z05AA,中研院歷史地名 ,118.2097,39.8058,中國-河北省-唐山市-豐潤區,幽州刺史部,24,220,東漢,縣
passage139,海陽,PL000000001201,CN0130223Z10AA,中研院歷史地名 ,118.6354,39.6997,中國-河北省-唐山市-灤縣,幽州刺史部,24,220,東漢,縣
passage140,徐無,PL000000001260,CN0130281Z07AA,中研院歷史地名 ,118.056,40.189,中國-河北省-唐山市-遵化市,幽州刺史部,24,220,東漢,縣
passage141,肥如,PL000000001289,CN0130283Z08AA,中研院歷史地名 ,118.864,40.0829,中國-河北省-唐山市-遷安市,幽州刺史部,24,220,東漢,縣
passage142,令支,PL000000001296,CN0130283Z15AA,中研院歷史地名 ,118.6017,40.0103,中國-河北省-唐山市-遷安市,幽州刺史部,24,220,東漢,縣
passage143,臨渝,PL000000001349,CN0130323Z20AA,中研院歷史地名 ,119.3718,39.9065,中國-河北省-秦皇島市-撫寧縣,幽州刺史部,24,220,東漢,縣
passage144,邯鄲,PL000000001404,CN0130402Z11AA,中研院歷史地名 ,114.4814,36.5927,中國-河北省-邯鄲市-邯山區,冀州刺史部,24,220,東漢,縣
