sequence,SYS_ID,NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,BEG_CHG_TY,END_YR,END_RULE,END_CHG_TY,NOTE_ID,OBJ_TYPE,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,FILENAME,X_Y_TYPE,SYS_ID_IN_MAIN_BOU_ID,SYS_ID_IN_MAIN_PT_ID
15121,221472,Fang Zhou,房州,房州,0,0,,Zhou,州,3,636,4,更名,741,4,更名,34484,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15122,221473,Fangling Jun,房陵郡,房陵郡,0,0,,Jun,郡,3,742,4,更名,757,4,更名,34482,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15123,221474,Ying Zhou,郢州,郢州,0,0,,Zhou,州,3,643,4,更名,741,4,更名,34399,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15124,221475,Fushui Jun,富水郡,富水郡,0,0,,Jun,郡,3,742,4,更名,757,4,更名,34398,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15125,221476,Ying Zhou,郢州,郢州,0,0,,Zhou,州,3,758,4,更名,1277,4,更名,34397,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15126,221477,Jingmen Jun,荆门军,荊門軍,0,0,,Jun,军,3,1088,4,新建,1276,4,更名,98018,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15127,221478,Jiangling Fu,江陵府,江陵府,0,0,,Fu,府,3,1086,4,暂作,1087,4,暂作,98019,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15128,221479,Jingmen Jun,荆门军,荊門軍,0,0,,Jun,军,3,972,4,治所迁移和辖区扩大,1072,4,撤销,34440,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15129,221480,Jiangling Fu,江陵府,江陵府,0,0,,Fu,府,3,972,4,辖区缩小,996,4,辖区缩小,98021,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15130,221481,Jiangling Fu,江陵府,江陵府,0,0,,Fu,府,3,997,4,辖区缩小,1072,4,辖区扩大,98022,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15131,221482,Jiangling Fu,江陵府,江陵府,0,0,,Fu,府,3,1073,4,辖区扩大,1085,4,辖区缩小,98023,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15132,221483,An Zhou,安州,安州,0,0,,Zhou,州,3,1086,4,辖区缩小,1118,4,更名,98024,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15133,221484,An Zhou,安州,安州,0,0,,Zhou,州,3,1073,4,辖区扩大,1085,4,辖区缩小,98025,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15134,221485,Jingmen Jun,荆门军,荊門軍,0,0,,Jun,军,3,924,4,新建,971,4,治所迁移和辖区扩大,34555,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15135,221486,Jiangling Fu,江陵府,江陵府,0,0,,Fu,府,3,924,4,辖区缩小,971,4,辖区缩小,98027,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15136,221487,Jiangling Fu,江陵府,江陵府,0,0,,Fu,府,3,912,4,辖区扩大,923,4,辖区缩小,98028,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15137,221488,Jiangling Fu,江陵府,江陵府,0,0,,Fu,府,3,760,4,更名,911,4,辖区扩大,98029,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15138,221489,Jing Zhou,荆州,荊州,0,0,,Zhou,州,3,758,4,更名,759,4,更名,34441,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15139,221490,Jiangling Jun,江陵郡,江陵郡,0,0,,Jun,郡,3,742,4,更名,757,4,更名,34442,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15140,221491,Ying Zhou,郢州,郢州,0,0,,Zhou,州,3,621,4,更名,623,4,辖区扩大,98032,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15141,221492,Wen Zhou,温州,溫州,0,0,,Zhou,州,3,634,4,辖区扩大,642,4,更名,98033,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15142,221493,Ji Zhou,基州,基州,0,0,,Zhou,州,3,621,4,新建,623,4,撤销,34446,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15143,221494,Ying Zhou,郢州,郢州,0,0,,Zhou,州,3,624,4,辖区扩大,626,4,撤销,98035,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15144,221495,Wen Zhou,温州,溫州,0,0,,Zhou,州,3,621,4,新建,633,4,辖区扩大,98036,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15145,221496,Jing Zhou,荆州,荊州,0,0,,Zhou,州,3,634,4,辖区扩大,741,4,更名,98037,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15146,221497,Jing Zhou,荆州,荊州,0,0,,Zhou,州,3,627,4,辖区扩大,633,4,更名,98038,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
15147,221498,Ruo Zhou,鄀州,鄀州,0,0,,Zhou,州,3,627,4,辖区扩大,633,4,撤销,98039,POLYGON,FROM_FD,钱林书,满志敏,,2015/5/25,Prefecture_Bou,,FALSE,FALSE
