fuzzy_nm,tgaz_nm_trad,tgaz_beg,tgaz_prnt_py,tgaz_sys_id,tgaz_prnt_sysid,tgaz_type_ch,tgaz_y_coord,tgaz_pres_loc,tgaz_prnt_simp,tgaz_end,tgaz_prnt_id,tgaz_nm_py,tgaz_type_py,tgaz_nm_simp,tgaz_obj_type,tgaz_data_source,tgaz_x_coord,input_x_coord,input_id,input_y_coord,input_dynasty,input_nm_trad,input_year_beg,input_year_end,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
廣昌,廣昌縣,1138.0,Jianchang Jun,hvd_40988,hvd_32522,县,26.836370000000002,江西广昌县,建昌军,1911.0,11641,Guangchang Xian,Xian,广昌县,POINT,CHGIS,116.31657,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,,0
廣昌,廣昌縣,210.0,Poyang Jun,hvd_41195,hvd_32610,县,29.578490000000002,江西波阳县北石门街镇,鄱阳郡,279.0,11729,Guangchang Xian,Xian,广昌县,POINT,CHGIS,116.76659,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,partial_incl_start_of_target,0
廣昌,廣昌縣,1368.0,Yu Zhou,hvd_44948,hvd_88273,县,39.35402,今河北涞源县驻地涞源镇,蔚州,1911.0,23211,Guangchang Xia,Xian,广昌县,POINT,CHGIS,114.68876999999999,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,,0
廣昌,廣昌縣,557.0,Chang Zhou,hvd_45703,hvd_105298,县,32.132020000000004,今湖北枣阳市,昌州,600.0,28880,Guangchang Xia,Xian,广昌县,POINT,CHGIS,112.7566,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,,0
廣昌,廣昌縣,-201.0,Dai Jun,hvd_87426,hvd_87415,县,39.40358,今河北涞源县涞源镇北,代郡,13.0,22602,Guangchang Xia,Xian,广昌县,POINT,CHGIS,114.68795,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,,0
廣昌,廣昌縣,23.0,Dai Jun,hvd_87428,hvd_87417,县,39.40358,今河北涞源县涞源镇北,代郡,0.0,22604,Guangchang Xia,Xian,广昌县,POINT,CHGIS,114.68795,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,ERROR__END_BEFORE_BEG,0
廣昌,廣昌縣,0.0,Shanggu Jun,hvd_88298,hvd_115781,县,39.35402,今河北涞源县驻地涞源镇,上谷郡,600.0,32665,Guangchang Xia,Xian,广昌县,POINT,CHGIS,114.68876999999999,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,CAUTION__ZEROES,0
廣昌,廣昌縣,1911.0,Yi Zhou,hvd_121529,hvd_120156,县,39.35402,河北涞源县治,易州,1911.0,33060,Guangchang Xian,Xian,广昌县,POINT,CHGIS,114.68876999999999,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,,0
廣昌,廣昌縣,1911.0,Jianchang Fu,hvd_121762,hvd_120206,县,26.836370000000002,江西广昌县县治旴江镇,建昌府,1911.0,33109,Guangchang Xian,Xian,广昌县,POINT,CHGIS,116.31657,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,,0
廣昌,廣昌縣,1911.0,Yi Zhou,hvd_196685,hvd_195214,县,39.35402,,易州,1911.0,75512,Guangchang Xian,Xian,广昌县,POLYGON,CHGIS,0.0,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,,0
廣昌,廣昌縣,1911.0,Jianchang Fu,hvd_196785,hvd_195234,县,26.836370000000002,,建昌府,1911.0,75532,Guangchang Xian,Xian,广昌县,POLYGON,CHGIS,0.0,114.7066,PL000000002290,39.3844,东汉,廣昌,24.0,220.0,found,False,False,False,False,,0
高邑,高邑縣,1820.0,Zhao Zhou,hvd_17,hvd_9504,县,37.60476,河北高邑县,赵州,1820.0,1994,Gaoyi,Xian,高邑县,POINT,CHGIS,114.61153,114.6991,PL000000000930,37.5848,东汉,高邑,24.0,220.0,found,False,False,False,False,,0
高邑,高邑縣,25.0,Changshan Guo,hvd_87024,hvd_115093,县,37.53046,今河北柏乡县东北,常山国,0.0,32159,Gaoyi Xian,Xian,高邑县,POINT,CHGIS,114.7326,114.6991,PL000000000930,37.5848,东汉,高邑,24.0,220.0,found,False,False,False,False,ERROR__END_BEFORE_BEG,0
高邑,高邑縣,25.0,Zhao Zhou,hvd_88352,hvd_88323,县,37.60476,今河北高邑县驻地高邑镇,赵州,1911.0,23249,Gaoyi Xian,Xian,高邑县,POINT,CHGIS,114.61153,114.6991,PL000000000930,37.5848,东汉,高邑,24.0,220.0,found,False,False,False,False,partial_incl_start_of_target,0
高邑,高邑縣,1911.0,Zhao Zhou,hvd_121436,hvd_120150,县,37.60476,河北高邑县治,赵州,1911.0,33054,Gaoyi Xian,Xian,高邑县,POINT,CHGIS,114.61153,114.6991,PL000000000930,37.5848,东汉,高邑,24.0,220.0,found,False,False,False,False,,0
高邑,高邑街,1911.0,Miyang Xian,hvd_149739,hvd_121940,村镇,32.746340000000004,河南泌阳县高邑,泌阳县,1911.0,34106,Gaoyijie,Cun Zhen,高邑街,POINT,CHGIS,113.46701999999999,114.6991,PL000000000930,37.5848,东汉,高邑,24.0,220.0,found,False,False,False,False,,0
高邑,高邑縣,1911.0,Zhao Zhou,hvd_196596,hvd_195205,县,37.60476,,赵州,1911.0,75503,Gaoyi Xian,Xian,高邑县,POLYGON,CHGIS,0.0,114.6991,PL000000000930,37.5848,东汉,高邑,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,1820.0,Baoding Fu,hvd_21,hvd_9506,县,38.74149,河北唐县,保定府,1820.0,1996,Tang Xian,Xian,唐县,POINT,CHGIS,114.9691,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,1820.0,Nanyang Fu,hvd_610,hvd_9599,县,32.69771,河南唐河县,南阳府,1820.0,2077,Tang Xian,Xian,唐县,POINT,CHGIS,112.83252,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣鎮,1820.0,De'an Fu,hvd_18393,hvd_9607,村镇,31.98609,湖北随县西北唐县镇,德安府,1820.0,2085,Tangxianzhen,Cun Zhen,唐县镇,POINT,CHGIS,113.12449,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,596.0,Ding Zhou,hvd_44756,hvd_87842,县,38.73602,今河北省唐县驻地仁厚镇西南左人城,定州,697.0,22939,Tang Xian,Xian,唐县,POINT,CHGIS,114.83747,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,698.0,Ding Zhou,hvd_44757,hvd_87848,县,38.707440000000005,今河北唐县驻地仁厚镇西南西城子村,定州,908.0,22945,Tang Xian,Xian,唐县,POINT,CHGIS,114.85815,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,923.0,Ding Zhou,hvd_44759,hvd_87854,县,38.707440000000005,今河北唐县驻地仁厚镇西南西城子村,定州,935.0,22951,Tang Xian,Xian,唐县,POINT,CHGIS,114.85815,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,947.0,Ding Zhou,hvd_44761,hvd_87854,县,38.707440000000005,今河北唐县驻地仁厚镇西南西城子村,定州,1129.0,22951,Tang Xian,Xian,唐县,POINT,CHGIS,114.85815,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,1130.0,Ding Zhou,hvd_44762,hvd_87860,县,38.74149,今河北省唐县驻地仁厚镇,定州,1911.0,22957,Tang Xian,Xian,唐县,POINT,CHGIS,114.96915,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
唐縣,唐縣,1369.0,Nanyang Fu,hvd_82643,hvd_84005,县,32.69771,今河南唐河,南阳府,1911.0,21439,Tang Xian,Xian,唐县,POINT,CHGIS,112.83252,115.0748,PL000000002407,38.8437,东汉,唐縣,24.0,220.0,found,False,False,False,False,,0
