input_id,input_nm_py,input_year_beg,input_year_end,input_x_coord,input_y_coord,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
PL000000005067,東垣,24.0,220.0,111.7915,35.1815,not_found,False,False,False,False,,0
PL000000005088,安邑,24.0,220.0,111.1641,35.18,not_found,False,False,False,False,,0
PL000000005118,大陽,24.0,220.0,111.1728,34.8323,not_found,False,False,False,False,,0
PL000000005151,河北,24.0,220.0,110.6341,34.6954,not_found,False,False,False,False,,0
PL000000005221,蒲坂,24.0,220.0,110.3281,34.8656,not_found,False,False,False,False,,0
PL000000005241,皮氏,24.0,220.0,110.70700000000001,35.5869,not_found,False,False,False,False,,0
PL000000005307,陽曲,24.0,220.0,112.9759,38.4702,not_found,False,False,False,False,,0
PL000000005431,慮虒,24.0,220.0,113.265,38.742,not_found,False,False,False,False,,0
PL000000005481,廣武,24.0,220.0,112.8625,39.009,not_found,False,False,False,False,,0
PL000000005510,鹵城,24.0,220.0,113.7535,39.328,not_found,False,False,False,False,,0
PL000000005568,埒縣,24.0,220.0,112.2704,39.0975,not_found,False,False,False,False,,0
PL000000005569,樓煩,24.0,220.0,112.2704,39.0975,not_found,False,False,False,False,,0
PL000000005637,武州,24.0,220.0,111.9586,39.5517,not_found,False,False,False,False,,0
PL000000005666,原平,24.0,220.0,112.7567,38.7228,not_found,False,False,False,False,,0
PL000000005696,平陽,24.0,220.0,111.4192,36.0458,not_found,False,False,False,False,,0
PL000000005718,襄陵,24.0,220.0,111.6374,35.9998,not_found,False,False,False,False,,0
PL000000005802,楊縣,24.0,220.0,111.7598,36.1882,not_found,False,False,False,False,,0
PL000000005824,陭氏,24.0,220.0,112.2164,36.1184,not_found,False,False,False,False,,0
PL000000005856,北屈,24.0,220.0,110.69,36.1854,not_found,False,False,False,False,,0
PL000000005924,蒲子,24.0,220.0,110.94,36.6872,not_found,False,False,False,False,,0
PL000000005975,絳邑,24.0,220.0,111.4333,35.6264,not_found,False,False,False,False,,0
PL000000005993,永安,24.0,220.0,111.7374,36.5633,not_found,False,False,False,False,,0
PL000000006000,皋狼,24.0,220.0,111.0419,37.6198,not_found,False,False,False,False,,0
PL000000006021,離石,24.0,220.0,111.1446,37.5097,not_found,False,False,False,False,,0
PL000000006034,大陵,24.0,220.0,112.1011,37.4821,not_found,False,False,False,False,,0
PL000000006044,平陶,24.0,220.0,111.98299999999999,37.3677,not_found,False,False,False,False,,0
PL000000006097,藺縣,24.0,220.0,110.8669,37.5237,not_found,False,False,False,False,,0
PL000000006158,中陽,24.0,220.0,111.1975,37.3391,not_found,False,False,False,False,,0
PL000000006193,平周,24.0,220.0,111.7183,37.0136,not_found,False,False,False,False,,0
PL000000006230,茲氏,24.0,220.0,111.8258,37.1957,not_found,False,False,False,False,,0
PL000000006237,武泉,24.0,220.0,111.7979,40.8879,not_found,False,False,False,False,,0
PL000000006244,北輿,24.0,220.0,111.6607,40.8009,not_found,False,False,False,False,,0
PL000000006251,定襄,24.0,220.0,112.0435,40.6788,not_found,False,False,False,False,,0
PL000000006273,雲中,24.0,220.0,111.3347,40.5357,not_found,False,False,False,False,,0
PL000000006280,沙陵,24.0,220.0,111.1462,40.3301,not_found,False,False,False,False,,0
PL000000006296,成樂,24.0,220.0,111.7773,40.4752,not_found,False,False,False,False,,0
PL000000006300,武進,24.0,220.0,112.1198,40.4668,not_found,False,False,False,False,,0
PL000000006324,箕陵,24.0,220.0,111.4168,40.0723,not_found,False,False,False,False,,0
PL000000006328,武成,24.0,220.0,111.6804,39.9378,not_found,False,False,False,False,,0
PL000000006329,桐過,24.0,220.0,111.4726,39.9196,not_found,False,False,False,False,,0
PL000000006333,駱縣,24.0,220.0,111.5906,39.7851,not_found,False,False,False,False,,0
PL000000006349,九原,24.0,220.0,109.7665,40.6337,not_found,False,False,False,False,,0
PL000000006361,宜梁,24.0,220.0,109.4825,40.6084,not_found,False,False,False,False,,0
PL000000006363,臨沃,24.0,220.0,109.85,40.5805,not_found,False,False,False,False,,0
PL000000006375,咸陽,24.0,220.0,110.6926,40.556999999999995,not_found,False,False,False,False,,0
PL000000006576,河陰,24.0,220.0,109.6796,40.4847,not_found,False,False,False,False,,0
PL000000006582,曼柏,24.0,220.0,110.5498,40.023,not_found,False,False,False,False,,0
PL000000006597,沙南,24.0,220.0,111.3588,40.0446,not_found,False,False,False,False,,0
PL000000006601,美稷,24.0,220.0,110.8016,39.7664,not_found,False,False,False,False,,0
PL000000006609,廣衍,24.0,220.0,110.5084,39.4786,not_found,False,False,False,False,,0
PL000000006612,楨林,24.0,220.0,110.583,39.4061,not_found,False,False,False,False,,0
PL000000006614,平定,24.0,220.0,110.6029,39.3448,not_found,False,False,False,False,,0
PL000000006650,朔方,24.0,220.0,108.7221,40.5757,not_found,False,False,False,False,,0
PL000000006667,大城,24.0,220.0,108.9699,39.5725,not_found,False,False,False,False,,0
PL000000006693,奢延,24.0,220.0,108.6219,37.772,not_found,False,False,False,False,,0
PL000000006787,沃野,24.0,220.0,107.1903,40.6316,not_found,False,False,False,False,,0
PL000000006796,三封,24.0,220.0,106.5195,40.4141,not_found,False,False,False,False,,0
PL000000006799,臨戒,24.0,220.0,107.0246,40.4127,not_found,False,False,False,False,,0
PL000000006814,廣牧,24.0,220.0,108.2328,40.8585,not_found,False,False,False,False,,0
PL000000006821,西安陽,24.0,220.0,109.0372,40.6567,not_found,False,False,False,False,,0
PL000000006823,成宜,24.0,220.0,109.2684,40.6553,not_found,False,False,False,False,,0
PL000000006887,強陰,24.0,220.0,112.8198,40.5117,not_found,False,False,False,False,,0
PL000000007044,居延,24.0,220.0,101.1532,41.8684,not_found,False,False,False,False,,0
PL000000007094,候城,24.0,220.0,123.5678,41.7399,not_found,False,False,False,False,,0
PL000000007098,高句驪,24.0,220.0,123.6386,41.8097,not_found,False,False,False,False,,0
PL000000007123,遼陽,24.0,220.0,122.8946,41.5121,not_found,False,False,False,False,,0
PL000000007155,望平,24.0,220.0,122.9107,41.8221,not_found,False,False,False,False,,0
PL000000007166,沓氏,24.0,220.0,121.7098,39.0233,not_found,False,False,False,False,,0
PL000000007241,險瀆,24.0,220.0,122.5378,41.3482,not_found,False,False,False,False,,0
PL000000007253,遼隊,24.0,220.0,122.6432,41.1425,not_found,False,False,False,False,,0
PL000000007264,新昌,24.0,220.0,122.8773,40.94,not_found,False,False,False,False,,0
PL000000007270,安市,24.0,220.0,122.7905,40.7783,not_found,False,False,False,False,,0
PL000000007347,西安平,24.0,220.0,124.4773,40.2123,not_found,False,False,False,False,,0
PL000000007415,徒河,24.0,220.0,121.1454,41.1117,not_found,False,False,False,False,,0
PL000000007461,昌黎,24.0,220.0,121.2532,41.5382,not_found,False,False,False,False,,0
PL000000007467,陽樂,24.0,220.0,120.9486,41.5015,not_found,False,False,False,False,,0
PL000000007499,賓徒,24.0,220.0,121.1986,41.2481,not_found,False,False,False,False,,0
PL000000007536,無慮,24.0,220.0,121.8535,41.4869,not_found,False,False,False,False,,0
PL000000007560,平郭,24.0,220.0,122.1339,40.1881,not_found,False,False,False,False,,0
PL000000007576,汶縣,24.0,220.0,122.6358,40.5582,not_found,False,False,False,False,,0
PL000000007631,襄平,24.0,220.0,123.1782,41.2645,not_found,False,False,False,False,,0
PL000000007692,高顯,24.0,220.0,123.8582,42.2941,not_found,False,False,False,False,,0
PL000000009054,江乘,24.0,220.0,119.0494,32.1577,not_found,False,False,False,False,,0
PL000000009229,湖熟,24.0,220.0,118.9734,31.889,not_found,False,False,False,False,,0
PL000000009243,秣陵,24.0,220.0,118.8392,31.8346,not_found,False,False,False,False,,0
PL000000009254,丹陽,24.0,220.0,118.72200000000001,31.6442,not_found,False,False,False,False,,0
PL000000009273,堂邑,24.0,220.0,118.8046,32.4318,not_found,False,False,False,False,,0
PL000000009327,溧陽,24.0,220.0,118.9889,31.3281,not_found,False,False,False,False,,0
PL000000009357,無錫,24.0,220.0,120.3066,31.5733,not_found,False,False,False,False,,0
PL000000009480,陽羨,24.0,220.0,119.8011,31.3365,not_found,False,False,False,False,,0
PL000000009527,彭城,24.0,220.0,117.1969,34.2686,not_found,False,False,False,False,,0
PL000000009554,豐縣,24.0,220.0,116.5934,34.7027,not_found,False,False,False,False,,0
PL000000009570,沛縣,24.0,220.0,116.9362,34.736999999999995,not_found,False,False,False,False,,0
PL000000009580,廣戚,24.0,220.0,117.0564,34.7073,not_found,False,False,False,False,,0
PL000000009587,留縣,24.0,220.0,117.1241,34.596,not_found,False,False,False,False,,0
PL000000009610,呂縣,24.0,220.0,117.4589,34.1738,not_found,False,False,False,False,,0
PL000000009636,下邳,24.0,220.0,117.912,34.1225,not_found,False,False,False,False,,0
PL000000009666,良成,24.0,220.0,118.0516,34.3009,not_found,False,False,False,False,,0
PL000000009670,司吾,24.0,220.0,118.3539,34.1922,not_found,False,False,False,False,,0
PL000000009684,武原,24.0,220.0,117.8373,34.479,not_found,False,False,False,False,,0
PL000000009744,毗陵,24.0,220.0,119.9613,31.7815,not_found,False,False,False,False,,0
PL000000009999,吳縣,24.0,220.0,120.6276,31.3114,not_found,False,False,False,False,,0
PL000000010189,婁縣,24.0,220.0,120.9896,31.428,not_found,False,False,False,False,,0
PL000000010418,朐縣,24.0,220.0,119.1391,34.5512,not_found,False,False,False,False,,0
PL000000010428,贛榆,24.0,220.0,119.1849,34.9878,not_found,False,False,False,False,,0
PL000000010432,祝其,24.0,220.0,118.8817,34.9382,not_found,False,False,False,False,,0
PL000000010448,利城,24.0,220.0,118.8074,34.857,not_found,False,False,False,False,,0
PL000000010462,厚丘,24.0,220.0,118.7749,34.3445,not_found,False,False,False,False,,0
PL000000010480,海西,24.0,220.0,119.4011,34.0573,not_found,False,False,False,False,,0
PL000000010538,淮陰,24.0,220.0,118.959,33.5457,not_found,False,False,False,False,,0
PL000000010593,淮浦,24.0,220.0,119.2331,33.7643,not_found,False,False,False,False,,0
PL000000010606,盱台,24.0,220.0,118.5574,33.1077,not_found,False,False,False,False,,0
PL000000010642,東陽,24.0,220.0,118.8284,32.9633,not_found,False,False,False,False,,0
PL000000010659,平安,24.0,220.0,119.2916,33.1376,not_found,False,False,False,False,,0
PL000000010678,鹽瀆,24.0,220.0,120.1429,33.3839,not_found,False,False,False,False,,0
PL000000010836,廣陵,24.0,220.0,119.4051,32.4474,not_found,False,False,False,False,,0
PL000000010851,射陽,24.0,220.0,119.6109,33.3137,not_found,False,False,False,False,,0
PL000000010878,輿國,24.0,220.0,119.1806,32.3658,not_found,False,False,False,False,,0
PL000000010892,江都,24.0,220.0,119.3335,32.2482,not_found,False,False,False,False,,0
PL000000010930,高郵,24.0,220.0,119.4464,32.7895,not_found,False,False,False,False,,0
PL000000010991,丹徒,24.0,220.0,119.5446,32.1684,not_found,False,False,False,False,,0
PL000000011050,曲阿,24.0,220.0,119.5789,31.9945,not_found,False,False,False,False,,0
PL000000011100,句容,24.0,220.0,119.1717,31.9453,not_found,False,False,False,False,,0
PL000000011132,海陵,24.0,220.0,119.9203,32.4946,not_found,False,False,False,False,,0
PL000000011204,下相,24.0,220.0,118.2599,33.9425,not_found,False,False,False,False,,0
PL000000011237,曲陽,24.0,220.0,118.965,34.0994,not_found,False,False,False,False,,0
PL000000011256,淩縣,24.0,220.0,118.633,33.7582,not_found,False,False,False,False,,0
PL000000011281,徐縣,24.0,220.0,118.2595,33.3235,not_found,False,False,False,False,,0
PL000000011289,睢陵,24.0,220.0,118.4517,33.2462,not_found,False,False,False,False,,0
PL000000011689,錢唐,24.0,220.0,120.1073,30.239,not_found,False,False,False,False,,0
PL000000011740,餘暨,24.0,220.0,120.2678,30.1601,not_found,False,False,False,False,,0
