fuzzy_nm,tgaz_prnt_py,tgaz_type_py,tgaz_x_coord,tgaz_beg,tgaz_pres_loc,tgaz_prnt_id,tgaz_end,tgaz_type_ch,tgaz_obj_type,tgaz_data_source,tgaz_nm_simp,tgaz_y_coord,tgaz_nm_py,tgaz_prnt_sysid,tgaz_sys_id,tgaz_nm_trad,tgaz_prnt_simp,input_nm_trad,input_dynasty,input_y_coord,input_x_coord,input_year_beg,input_year_end,input_id,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
班氏,,,,,,,,,,,,,,,,,,班氏,东汉,39.8489,113.3798,24.0,220.0,PL000000004633,not_found,False,False,False,False,,0
榆次,,,,,,,,,,,,,,,,,,榆次,东汉,37.6779,112.7542,24.0,220.0,PL000000004660,not_found,False,False,False,False,,0
沾縣,,,,,,,,,,,,,,,,,,沾縣,东汉,37.5035,113.4776,24.0,220.0,PL000000004732,not_found,False,False,False,False,,0
陽邑,,,,,,,,,,,,,,,,,,陽邑,东汉,37.4976,112.7749,24.0,220.0,PL000000004762,not_found,False,False,False,False,,0
祁縣,,,,,,,,,,,,,,,,,,祁縣,东汉,37.3335,112.3501,24.0,220.0,PL000000004795,not_found,False,False,False,False,,0
京陵,,,,,,,,,,,,,,,,,,京陵,东汉,37.1962,112.2315,24.0,220.0,PL000000004815,not_found,False,False,False,False,,0
中都,,,,,,,,,,,,,,,,,,中都,东汉,37.1702,112.1248,24.0,220.0,PL000000004820,not_found,False,False,False,False,,0
鄔縣,,,,,,,,,,,,,,,,,,鄔縣,东汉,37.0863,112.0413,24.0,220.0,PL000000004867,not_found,False,False,False,False,,0
界休,,,,,,,,,,,,,,,,,,界休,东汉,36.9901,111.9868,24.0,220.0,PL000000004880,not_found,False,False,False,False,,0
解縣,,,,,,,,,,,,,,,,,,解縣,东汉,35.0746,110.6331,24.0,220.0,PL000000004943,not_found,False,False,False,False,,0
猗氏,,,,,,,,,,,,,,,,,,猗氏,东汉,35.0571,110.7654,24.0,220.0,PL000000004948,not_found,False,False,False,False,,0
汾陰,,,,,,,,,,,,,,,,,,汾陰,东汉,35.3785,110.5293,24.0,220.0,PL000000004959,not_found,False,False,False,False,,0
聞喜,,,,,,,,,,,,,,,,,,聞喜,东汉,35.3572,111.2264,24.0,220.0,PL000000004999,not_found,False,False,False,False,,0
臨汾,,,,,,,,,,,,,,,,,,臨汾,东汉,35.6973,111.3313,24.0,220.0,PL000000005023,not_found,False,False,False,False,,0
東垣,,,,,,,,,,,,,,,,,,東垣,东汉,35.1815,111.7915,24.0,220.0,PL000000005067,not_found,False,False,False,False,,0
安邑,,,,,,,,,,,,,,,,,,安邑,东汉,35.18,111.1641,24.0,220.0,PL000000005088,not_found,False,False,False,False,,0
