,tgaz_sys_id,tgaz_nm_py,tgaz_nm_simp,tgaz_nm_trad,tgaz_beg,tgaz_end,tgaz_data_source,tgaz_obj_type,tgaz_pres_loc,tgaz_prnt_id,tgaz_prnt_py,tgaz_prnt_simp,tgaz_prnt_sysid,tgaz_type_ch,tgaz_type_py,tgaz_x_coord,tgaz_y_coord,input_id,input_nm_py,input_nm_simp,input_nm_trad,input_type,input_year_beg,input_year_end,input_dynasty,input_other_id,input_prnt,input_obj_type,input_x_coord,input_y_coord,_merge,out_x_coord_match,out_y_coord_match,out_beg_match,out_end_match,out_content_match_strength
2264,hvd_34458,Jiang Zhou,江州,江州,619.0,622.0,CHGIS,POINT,今湖北省枝城市,\N,\N,\N,\N,州,zhou,111.45792,30.39239,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2265,hvd_34461,Jiang Zhou,江州,江州,619.0,620.0,CHGIS,POINT,今湖北长阳县西巴山河,\N,\N,\N,\N,州,zhou,110.8017,30.45259,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2266,hvd_34476,Jiang Zhou,江州,江州,585.0,597.0,CHGIS,POINT,今湖北长阳县西巴山河,\N,\N,\N,\N,州,zhou,110.8017,30.45259,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2267,hvd_44125,Jiang Zhou,江州,江州,972.0,1386.0,CHGIS,POINT,今广西崇左县南江州镇,32981,Zuojiang Dao,左江道,hvd_116219,羁縻州,ji mi zhou,107.38284,22.31657,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2268,hvd_44126,Jiang Zhou,江州,江州,1644.0,1911.0,CHGIS,POINT,今广西崇左县南江州镇,11617,Taiping Fu,太平府,hvd_32460,土州,tu zhou,107.38284,22.31657,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2269,hvd_97267,Jiang Zhou,江州,江州,589.0,606.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2270,hvd_97269,Jiang Zhou,江州,江州,621.0,621.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2271,hvd_97270,Jiang Zhou,江州,江州,622.0,624.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2272,hvd_97272,Jiang Zhou,江州,江州,625.0,741.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2273,hvd_97275,Jiang Zhou,江州,江州,758.0,952.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2274,hvd_97276,Jiang Zhou,江州,江州,953.0,977.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2275,hvd_97277,Jiang Zhou,江州,江州,978.0,981.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2276,hvd_97278,Jiang Zhou,江州,江州,982.0,1276.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2277,hvd_98045,Jiang Zhou,江州,江州,619.0,622.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,30.29412,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2278,hvd_98047,Jiang Zhou,江州,江州,619.0,620.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,26.07395,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2279,hvd_98084,Jiang Zhou,江州,江州,585.0,597.0,CHGIS,POLYGON,,\N,\N,\N,\N,州,zhou,0.0,32.19529,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2280,hvd_98181,Jiang Zhou,江州,江州,291.0,303.0,CHGIS,POLYGON,98 -064/98 -423,\N,\N,\N,\N,州,zhou,0.0,28.6749,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2281,hvd_98182,Jiang Zhou,江州,江州,304.0,306.0,CHGIS,POLYGON,98 -181/0,\N,\N,\N,\N,州,zhou,0.0,28.6749,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2282,hvd_98183,Jiang Zhou,江州,江州,307.0,327.0,CHGIS,POLYGON,98 -182,\N,\N,\N,\N,州,zhou,0.0,28.6749,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2283,hvd_98184,Jiang Zhou,江州,江州,328.0,333.0,CHGIS,POLYGON,98 -183/98 -436,\N,\N,\N,\N,州,zhou,0.0,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2284,hvd_98185,Jiang Zhou,江州,江州,334.0,344.0,CHGIS,POLYGON,98 -184,\N,\N,\N,\N,州,zhou,0.0,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2285,hvd_98186,Jiang Zhou,江州,江州,345.0,415.0,CHGIS,POLYGON,98 -185,\N,\N,\N,\N,州,zhou,0.0,29.87422,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2286,hvd_98187,Jiang Zhou,江州,江州,454.0,523.0,CHGIS,POLYGON,98 -448,\N,\N,\N,\N,州,zhou,0.0,29.64157,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2287,hvd_98188,Jiang Zhou,江州,江州,524.0,552.0,CHGIS,POLYGON,98 -187,\N,\N,\N,\N,州,zhou,0.0,29.64157,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2288,hvd_98189,Jiang Zhou,江州,江州,553.0,555.0,CHGIS,POLYGON,98 -188,\N,\N,\N,\N,州,zhou,0.0,29.64157,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2289,hvd_98190,Jiang Zhou,江州,江州,556.0,562.0,CHGIS,POLYGON,98 -189,\N,\N,\N,\N,州,zhou,0.0,29.64157,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2290,hvd_98191,Jiang Zhou,江州,江州,563.0,567.0,CHGIS,POLYGON,98 -190/98 -194,\N,\N,\N,\N,州,zhou,0.0,29.64157,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2291,hvd_98192,Jiang Zhou,江州,江州,568.0,580.0,CHGIS,POLYGON,98 -191/98 -195,\N,\N,\N,\N,州,zhou,0.0,29.64157,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2292,hvd_98193,Jiang Zhou,江州,江州,581.0,588.0,CHGIS,POLYGON,98 -192,\N,\N,\N,\N,州,zhou,0.0,29.64157,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2293,hvd_98447,Jiang Zhou,江州,江州,416.0,421.0,CHGIS,POLYGON,98 -186/98 -437,\N,\N,\N,\N,州,zhou,0.0,29.87422,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2294,hvd_98448,Jiang Zhou,江州,江州,422.0,453.0,CHGIS,POLYGON,98 -447,\N,\N,\N,\N,州,zhou,0.0,29.64157,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2295,hvd_111011,Jiang Zhou,江州,江州,621.0,741.0,CHGIS,POINT,江西省九江市,\N,\N,\N,\N,州,zhou,115.98568,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2296,hvd_113065,Jiang Zhou,江州,江州,503.0,504.0,CHGIS,POINT,安徽霍邱县东南,32082,Nanchao Liang,南朝梁,hvd_113689,州,zhou,116.36597,32.21282,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2297,hvd_113171,Jiang Zhou,江州,江州,555.0,575.0,CHGIS,POINT,安徽潜山县梅城镇,32076,Beiqi,北齐,hvd_113683,州,zhou,116.5672,30.63035,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2298,hvd_113206,Jiang Zhou,江州,江州,552.0,553.0,CHGIS,POINT,湖北汉川县东南十里,32077,Xiwei,西魏,hvd_113684,州,zhou,113.86506,30.61796,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2299,hvd_113219,Jiang Zhou,江州,江州,557.0,597.0,CHGIS,POINT,湖北宜昌市西北长江南岸黄陵庙至三斗坪一,\N,\N,\N,\N,州,zhou,111.03436,30.81903,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2300,hvd_113511,Jiang Zhou,江州,江州,291.0,339.0,CHGIS,POINT,江西南昌市,\N,\N,\N,\N,州,zhou,115.73103,28.71954,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2301,hvd_113512,Jiang Zhou,江州,江州,340.0,341.0,CHGIS,POINT,江西九江市,\N,\N,\N,\N,州,zhou,115.98568,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2302,hvd_113513,Jiang Zhou,江州,江州,342.0,342.0,CHGIS,POINT,江西南昌市,\N,\N,\N,\N,州,zhou,115.73103,28.71954,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2303,hvd_113514,Jiang Zhou,江州,江州,343.0,556.0,CHGIS,POINT,江西九江市,\N,\N,\N,\N,州,zhou,115.98568,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2304,hvd_113515,Jiang Zhou,江州,江州,557.0,588.0,CHGIS,POINT,江西南昌市,\N,\N,\N,\N,州,zhou,115.73103,28.71954,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2305,hvd_122372,Jiang Zhou,江州,江州,1911.0,1911.0,CHGIS,POINT,广西壮族自治区崇左县江州,33210,Taiping Fu,太平府,hvd_120357,州,zhou,107.38284,22.31657,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2306,hvd_197323,Jiang Zhou,江州,江州,1911.0,1911.0,CHGIS,POLYGON,,75617,Taiping Fu,太平府,hvd_195346,州,zhou,0.0,22.31657,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2819,hvd_539,Ji Xian,汲县,汲縣,1820.0,1820.0,CHGIS,POINT,河南汲县,2071,Weihui Fu,卫辉府,hvd_9593,县,xian,114.07027,35.41039,PL000000024483,,,汲縣,,24.0,220.0,东汉,CN0410781Z22AA,司隸校尉部,,113.9849,35.37,both,False,False,False,False,0
2820,hvd_82252,Ji Xian,汲县,汲縣,-221.0,-197.0,CHGIS,POINT,今河南卫辉市西南汲城,32328,Henei Jun,河内郡,hvd_115329,县,xian,113.96857,35.38237,PL000000024483,,,汲縣,,24.0,220.0,东汉,CN0410781Z22AA,司隸校尉部,,113.9849,35.37,both,False,False,False,False,0
2821,hvd_82254,Ji Xian,汲县,汲縣,-130.0,449.0,CHGIS,POINT,今河南卫辉市西南汲城,32328,Henei Jun,河内郡,hvd_115329,县,xian,113.96857,35.38237,PL000000024483,,,汲縣,,24.0,220.0,东汉,CN0410781Z22AA,司隸校尉部,,113.9849,35.37,both,False,False,False,False,0
